id,name,country,city,sources,source_count,certifications_count,certification_names,has_jci,jci_accreditation_date,jci_expiry_date,total_score,certification_score,quality_initiatives_score,patient_feedback_score,website,last_updated
,"Pace Hospitals(A Unit of OMRV Hospital Pvt. Ltd.), Hyderabad, Telangana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Sterling Cancer Hospital, Vadodara, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Ashoka Medicover Hospitals (A Unit Of Sahrudaya Health Care Pvt Ltd., Nashik, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"MGM Medical College & Hospital, Navi Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Amcare Hospital, Mohali, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Apollo Speciality Hospital, Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Bhagwan Mahavir Medica Superpecialty Hospital, Ranchi, Jharkhand, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Unity Hospital ( Unity Care and Health Services Private Ltd ), Mangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Sri Sai Hospital, Moradabad, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Pushpanjali Hospital, Rewari, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Ekashilaa Hospitals (A Unit of Kakathiyan Medical Services Pvt. Ltd.), Warangal, Telangana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Kusum Dhirajlal (KD) Hospital, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Nelson Hospital (A Unit of SMD Hospitals Pvt. Ltd.) - (Earlier Certificate issued in the Name of Nelson Mother & Child Care Hospital), Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Yashoda Superspeciality Hospital And Cancer Institute , Ghaziabad, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Sir Ganga Ram City Hospital, New Delhi, Delhi, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Mitera Hospitals Private Limited, Kottayam, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Orchid Medical Centre , Ranchi, Jharkhand, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Anup Institute Of Orthopaedics & Rehabilitation, Patna, Bihar, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.410729
,"Capital Hospitals (A Unit Of Capital Tree Health Care Pvt Ltd), Vijayawada, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"MGM Hospital & Research Center Pvt. Ltd, Patna, Bihar, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Virk Hospital Pvt. Ltd, Karnal, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"BAPS Pramukh Swami Hospital, Surat, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Park Hospital, Behror, Alwar, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr. Jales Life Care Hospital, Rohtak, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Chandan Hospital, Lucknow, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Vedanta Medical Research Foundation (Balco Medical Centre), Raipur, Chattisgarh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Kokilaben Dhirubhai Ambani Hospital, Navi Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Madhukar Rainbow Childrens Hospital, New Delhi, Delhi, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"MGM Healthcare Pvt Ltd, Chennai, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"National Institute Of Mental Health And Neuro Sciences, Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sum Ultimate Medicare, Bhubneshwar, Orissa, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"ILS Hospitals Dumdum Unit Of GPT Healthcare Pvt. Ltd., Dumdum, Kolkata, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sanjivani Hospital, Sirsa, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"JJ Institute of Medical Sciences Pvt. Ltd., Bahadurgarh, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr. KNS Memorial Hospital Pvt. Ltd. (Earlier Certificate issued in the name of Mayo Medical Centre Pvt. Ltd.), Lucknow, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Maharishi Markandeshawar Medical College and Hospital, Solan, Himachal Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sevasadan Lifeline Superspeciality Hospital, Sangli, Miraj, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Healthcare Global Enterprises Limited, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr Rela Institute & Medical Centre (A Unit Of JR Super Speciality Hospitals Pvt. Ltd), Chennai, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr. D.Y.Patil Medical College, Hospital and Research Centre, Pune, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Parkash Hospital, Amritsar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr. Ravindra Hospital, Panipat, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Cosmopolitan Hospitals Private Limited, Thiruvananthapuram, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Malabar Institute Of Medical Science Limited, Edakkad, Kannur, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"SMVS Swaminarayan Hospital and Research Foundation, Gandhinagar, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Kaddam Multispeciality Hospital, Bhiwani, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Aaryan Institute of Medical Science, Kutch, Mandvi, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Ravindra Hospital & Heart Centre, Hisar, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Anand Surgical Hospital Pvt. Ltd., Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"B C M Hospital, Sitapur, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Paras Hospitals, Panchkula, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Seven Star Hospital ( A Unit of Nagpur Institute of Surgical Sciences and Research Centre pvt.Ltd.), Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Apollo Reach Hospital, Sivagangai, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Smt. Rasilaben Sevantilal Shah Venus Hospital, Surat, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Amandeep Medicity, Amritsar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Isha multispeciality hospital, Vadodara, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Deep Hospital, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Surya Mother & Child Super Speciality Hospital, Pune, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Brahm Shakti Sanjivani Super Speciality Hospital, Jhajjar, Bahadurgarh, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"HCG Panda Cancer Hospital , Cuttack, Orissa, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"ILS Hospitals Agartala (Unit of GPT Healthcare Pvt. Ltd.), Agartala, Tripura, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"HCG Cancer Centre, Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Cygnus Superspecaility Hospitals, Rewari, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Cygnus J.K Hindu Hospital, Sonipat, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Apex Hospital, Moradabad, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Asha Hospital (A Unit of Asha Institute of Medical Sciences & Research Centre Pvt. Ltd.), Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Aureus Institute of Medical Sciences, Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Medicover Hospitals (A Unit of Sahrudaya Healthcare Pvt. Ltd.) -  (Earlier Certificate issued in the Name of Medicover Hospitals (A Unit of Sahrudaya Healthcare Kurnool Pvt. Ltd.)), Kurnool, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"HCG Manavata Cancer Centre, Nashik, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Cygnus Maharaja Aggarsain Hospital, Panipat, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Saket Medicare & Research Centre Pvt. Ltd., Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Gangasheel Advanced Medical Research Institute, Bareilly, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Mukat Hospital and Heart Institute (A Unit of City Clinic Private Limited), Chandigarh, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"IMS & SUM Hospital, Bhubneshwar, Orissa, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Avron Hospitals Pvt. Ltd., Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"The Gujarat Research & Medical Institute, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Siddh Multispeciality Hospital, Moradabad, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"SGL Superspeciality Hospital, Jalandhar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Bansal Hospital (A Unit of Sagarshree Hospital and Research Institute Private Limited) - (Earlier Certificate issued in the name of Sagarshree Hospital & Research Institute Pvt. Ltd.)., Sagar, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sardar Vallabhbhai Patel Rotary General Hospital - (Earlier Certificate issued in the Name of Sardar Patel Hospital and Heart Institute), Bharuch, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Mallige Hospital (Mallige Medical Centre Pvt. Ltd.), Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Oxygen Hospital, Rohtak, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Manwatkar Multispeciality Hospital, Chandrapur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Morris Mathias Hospital, Kanyakumari, Negercoil, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Shalby Hospital, Mohali, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Best Super Speciality Hospital, Jabalpur, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Kamineni Health Services Private Limited, Hyderabad, Telangana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"BIMR Hospitals, Gwalior, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"KIMS ICON Hospital ( A Unit of ICON Krishi Institute of Medical Sciences Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Bhagwan Das Hospital, Sonipat, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Surya Children's Medicare Pvt. Ltd., Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Siddhartha Hospital, Kakinada, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Ford Hospital & Research Centre, Patna, Bihar, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dr. Hedgewar Rugnalaya, Aurangabad, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sushrut Hospital and Research Centre (A Unit of Chembur Hospital Project Trust), Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Inodaya Hospitals( A Unit of Godavarthy Narasimha Murthy Health Care Pvt.Ltd), Kakinada, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Apollomedics Super Speciality Hospitals, Lucknow, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Shri Bhavani Multispecialty Hospital & Research Institute, Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Dayanand Hospital & Critical Care Centre, Sonipat, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Kalyan Multispeciality Hospital, Gwalior, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Vidharba Institute of Medical Sciences, Mohan Nagar, Nagpur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Sri Shankara Cancer Hospital And Research Centre, Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.411730
,"Yatharth Superspeciality Hospitals, Greater Noida, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Justice K. S. Hegde Charitable Hospital, Mangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Dr. D. Y. Patil Hospital And Research Centre, Navi Mumbai, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"MGM (Mohanlal Gupta Memorial) Hospital and Research Center, Katni, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Jeevan Jyoti Hospital , Prayagraj, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Sri Guru Ram Dass Charitable Hospital, Amritsar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Armaan Hospital, Jalandhar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Gaba Hospital, Yamuna Nagar, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Shalby Hospital, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Vikash Multi Specialty Hospital, Barahagoda, Orissa, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Suchirayu Healthcare Solution Ltd., Hubli, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Suyash Institute Of Medical Science Pvt. Ltd., Raipur, Chattisgarh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Paras JK Hospital (A Unit of Paras Healthcare Pvt. Ltd.), Udaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"M.J. Naidu Super Speciality Hospital, Vijayawada, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"EPIC Hospital, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"M.B Multispeciality Hospitals, Visakhapatnam, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Indus Jaipur Hospital (A Unit Sharma Memorial Hospital & Research Institute), Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"ABH Healthcare Private Limited (Earlier Certificate issued in the name of Anil Baghi Hospital), Ferozpur City, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"R J Super Speciality Hospital, Jhajjar, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Satguru Partap Singh Hospitals, Ludhiana, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Vasal Hospital, Jalandhar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Bombay Hospital & Research Centre, Jabalpur, Madhya Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Gurukripa Hospitals, Sikar, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Sparsh Hospital (A Unit Of Shiva & Shiva Orthopaedic Hospital Private Limited), Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Akashdeep Hospital, Amritsar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"HCG EKO Cancer Centre, Kolkata, West Bengal, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Healthworld Hospitals A Unit Of Parashmani Medical Centre Pvt Ltd, Durgapur, West Bengal, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Medigram The Super Speciality , Hospital, A Unit Of Saharanpur Institute Of Medical Sciences, Saharanpur, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Mann Multispecialty Hospital, Rohtak, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Holy Cross Hospital, Nagercoil, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"St.Thomas Hospital, Changanassery, Kottayam, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Leonard Hospital, Dindigul, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Pawan Hospital, Faridabad, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Krishna Hospital & Research Centre, Haldwani (Nanital), Uttarakhand, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Kothari Medical Centre, Kolkata, West Bengal, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Sadhu Vaswani Mission’s Medical Complex, Pune, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Sacred Heart Hospital, Thoothukudi, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"SSB Heart And Multispecialty Hospital (A Unit of SSB Central Hospital and Research Center Limited), Faridabad, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Omega Hospitals ( A Unit Of Vizag Specialty Hospitals), Visakhapatnam, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Vikram Aura Hospitals - (Earlier Certificate issued in the Name of Fortis Lafemme Hospital), Bangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Apollo DRDO Hospitals, Hyderabad, Telangana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Apollo Adlux Hospital (A Unit Of Adlux Medicity & Convention Centre Private Limited), Ernakulam, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Dr. Raghoji Kidney Hospital & Research Center Pvt. Ltd., Solapur, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"SGT Medical College Hospital and Research Institute, Gurgaon, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Mahavir Jaipuria Rajasthan Hospital, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Krishna Institute of Medical Sciences Ltd., Nellore, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Sri Venkateswara Institute Of Medical Sciences, Chittoor, Tirupati, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Gunjkar Multispeciality Hospital, Pune, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Riddhivinayak Multispeciality Hospital, Palghar, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Charak Hospital & Research Centre, Lucknow, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Healthway Hospitals Pvt. Ltd., Goa, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Medicover Hospital (A Unit of Sahrudaya Healthcare Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"ANU Institute of Neuro & Cardiac Sciences (A Unit of Sri Anu Hospitals Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Shree Aggarsain International Hospital, New Delhi, Delhi, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Lifeline Hospital, Pune , Haveli, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Royal Care Super Speciality Hospital Ltd., Sulur , Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Ranjit Hospital, Amritsar, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Kailashi Super Speciality Hospital,Meerut, Mandya, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"DHS Multispecialty Hospital, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"N. C. Jindal Institute Of Medical Care & Research , Hisar, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"BS Heartcare & Multispeciality Hospital, Kurukshetra, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Siddaganga Hospital (A Unit of Sree Siddaganga Math SSMCRI), Tumakuru, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"MMRRDI Seth Nandlal Dhoot Hospital, Aurangabad, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.), Vijayawada, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Shifa Hospitals, Tirunelveli, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"RS Gaur Global Multispeciality Hospital Private Limited, Jhajjar, Haryana, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Apollo Hospitals, Tondiarpet, Chennai, Tamil Nadu, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Amar Medical & Research Centre, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Global Longlife Hospital & Research Pvt. Ltd., Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Prolife Hospital, Ludhiana, Punjab, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Shivalik Medical Centre Pvt. Limited, Noida, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"CKRD Memorial Hospital And Research Institute, Jhunjhunu, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"HCG Hospitals (Unit of HCG Sun Hospitals LLP), Rajkot, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"GCS Medical College, Hospital & Research Centre, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Shri Ram Murti Smarak Institute of Medical Sciences , Bareilly, Uttar Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Zydus Hospitals And Health Care Research Private Limited, Ahmedabad, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"CKS Hospital (A Unit of CKS Medicare Pvt. Ltd.), Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Unity Trauma Center and ICU, Surat, Gujarat, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Institute Of Human Behaviour And Allied Sciences, Delhi, Delhi, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Jubilee Mission Medical College And Research Institute, Thrissur, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Chirayu Hospital, Jaipur, Rajasthan, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Horizon Prime Hospital, Thane, Maharashtra, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"NIMS Medicity, Thiruvananthapuram, Neyyatinkara, Kerala, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"KMC Hospital Attavar Mangalore, Mangalore, Karnataka, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.412729
,"Tirumala Medicover Hospital (Sahrudaya Health Care Vizianagaram Pvt. Ltd.), Vizianagaram, Andhra Pradesh, India",India,,,0,1,,no,,,,,0,,,2025-09-27T15:56:47.413729
