reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,facility_type,country,status,extracted_date
DC-2022-0393,"Goyals Dental & Orthodontics Centre, Faridabad, Haryana, India",D-2022-0248,03 Nov 2022,02 Nov 2025,Voluntary Withdrawal w.e.f. 27th April 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2021-0366,"Munjal Dental Institute & Treatment Centre , Ambala, Haryana, India",D-2022-0249,03 Nov 2022,02 Nov 2025,Forced Withdrawal of Accreditation w.e.f. 28th April 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2021-0355,"Shiva Dental Clinic, Jhajjar, Haryana, India",D-2022-0250,03 Nov 2022,02 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2022-0388,"Yash Dental Orthodontic and Aesthetic Centre, New Delhi, Delhi, India",D-2022-0251,03 Nov 2022,02 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2021-0377,"Dr. Bhim Sains Family Dental Clinic Pvt. Ltd., Gurgaon, Haryana, India",D-2022-0252,03 Nov 2022,02 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2022-0429,"Thind Dental Clinic, Ludhiana, Punjab, India",D-2022-0253,10 Nov 2022,09 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2021-0375,"Shataayu Dental Clinic, Indore, Madhya Pradesh, India",D-2022-0254,10 Nov 2022,09 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2021-0354,"Srian Dental Hospital, Kurnool, Andhra Pradesh, India",D-2022-0255,10 Nov 2022,09 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2021-0353,"Sri Ramana Cosmetic Dental Clinic Ceramic Implant Centre, Kurnool, Andhra Pradesh, India",D-2022-0256,10 Nov 2022,09 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2022-0430,"Malik Dental Clinic, Rohtak, Haryana, India",D-2022-0257,01 Dec 2022,30 Nov 2025,Renewal Under Process,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2022-0425,"Apple Dental (A Unit Of M/s Apple Oral And Dental Pvt. Ltd.), Nellore, Andhra Pradesh, India",D-2022-0258,01 Dec 2022,30 Nov 2025,Forced Withdrawal of Accreditation w.e.f. 22nd August 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.391082
DC-2022-0406,"Smile Cure Dental Clinic, Delhi, Delhi, India",D-2022-0259,01 Dec 2022,30 Nov 2025,Voluntary Withdrawal of Accreditation w.e.f. 1st July 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2022-0391,"Muskan Dental Care, West Patel Nagal, Delhi, Delhi, India",D-2022-0260,01 Dec 2022,30 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2021-0349,"Jaaneja Multispeciality Dental Centre, New Delhi, Delhi, India",D-2022-0261,01 Dec 2022,30 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2021-0311,"Stars Dental Clinic, New Delhi, Delhi, India",D-2022-0262,01 Dec 2022,30 Nov 2025,"Accreditation under Suspension w.e.f . August 01, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2022-0424,"Malatamba Dental Hospital, Visakhapatnam, Andhra Pradesh, India",D-2022-0263,01 Dec 2022,30 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2022-0448,"Jardosh Dental Clinic, Ahmedabad, Gujarat, India",D-2022-0264,01 Dec 2025,30 Nov 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2022-0421,"Om Super-Speciality Dental Clinic, Jind, Haryana, India",D-2022-0265,01 Dec 2022,30 Nov 2025,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2019-0231,"Care International Dental & Implant Centre, Nellore, Andhra Pradesh, India",D-2022-0266,08 Dec 2022,07 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2021-0374,"Babulalji Pahadiya Dental Hospital, Dausa, Rajasthan, India",D-2022-0267,08 Dec 2022,07 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2022-0403,"Agrawal Dental And Oral Care, Bhopal, Madhya Pradesh, India",D-2022-0268,08 Dec 2022,07 Dec 2025,Voluntary Withdrawal of Accreditation w.e.f. 5th February 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.393087
DC-2021-0369,"Dental Implant & Smile Rehabilitation center, Kolhapur, Maharashtra, India",D-2022-0269,15 Dec 2022,14 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2022-0390,"Focus Dental, New Delhi, Delhi, India",D-2022-0270,15 Dec 2022,14 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2020-0288,"Santosh Dental Hospital, Gurgaon, Haryana, India",D-2022-0271,28 Dec 2022,27 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2022-0410,"Urban Dental Skin Clinic Bhopal, Bhopal, Madhya Pradesh, India",D-2022-0272,28 Dec 2022,27 Dec 2025,Forced Withdrawal of Accreditation w.e.f. 26th June 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0328,"Vijay Dental Clinic, Guntur, Andhra Pradesh, India",D-2023-0273,05 Jan 2023,04 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0367,"Aastha Dental Clinic and Implant Centre, Shimla, Himachal Pradesh, India",D-2023-0274,05 Jan 2023,04 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0309,"Prakash Speciality Dental Hospital , Ananthpur, Karnataka, India",D-2023-0275,27 Jan 2023,26 Jan 2026,Forced Withdrawal of Accreditation w.e.f. 12th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0346,"Smile 4 Suree Dental Clinic, New Delhi, Delhi, India",D-2023-0276,27 Jan 2023,26 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0360,"Ruchita Dental Clinic, Ananthpur, Karnataka, India",D-2023-0277,27 Jan 2023,26 Jan 2026,Forced Withdrawal of Accreditation w.e.f. 11th September 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2022-0437,"Smriti Raj Dentistry, Dwarka, Delhi, Delhi, India",D-2023-0278,02 Feb 2023,01 Feb 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.395093
DC-2021-0384,"Dr. Somendra Dentalcare Centre, Jaipur, Rajasthan, India",D-2023-0279,09 Feb 2023,08 Feb 2026,"Accreditation under Suspension w.e.f . September 01, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0411,"Priya Dental Clinic, Mumbai, Maharashtra, India",D-2023-0280,09 Feb 2023,08 Feb 2026,Forced Withdrawal of Accreditation w.e.f. 13th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0462,"Jain Multi Speciality Dental Clinic, Raipur, Chattisgarh, India",D-2023-0281,09 Feb 2023,08 Feb 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0458,"New Crown Dental Clinic, Bhopal, Madhya Pradesh, India",D-2023-0282,02 Mar 2023,01 Mar 2026,Forced Withdrawal of Accreditation w.e.f. 13th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0455,"Happy Tooth Multispeciality Dental Clinic, Ranchi, Jharkhand, India",D-2023-0283,02 Mar 2023,01 Mar 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0450,"Naveen Dental Clinic, Tirupati, Andhra Pradesh, India",D-2023-0284,02 Mar 2023,01 Mar 2026,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0432,"Apple Dental - A Unit Of M/s Apple Oral And Dental Pvt. Ltd., Rajahmundry, Andhra Pradesh, India",D-2023-0285,02 Mar 2023,01 Mar 2026,Forced Withdrawal of Accreditation w.e.f. 9th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0449,"Tuskers Multispeciality Dental Care, Ahmedabad, Gujarat, India",D-2023-0286,23 Mar 2023,22 Mar 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0438,"Dental Destination, Faridabad, Haryana, India",D-2023-0287,23 Mar 2023,22 Mar 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0454,"Balaji Dental Centre, Paschim vihar, Delhi, Delhi, India",D-2023-0288,23 Mar 2023,22 Mar 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0453,"Smile Savers Dental Clinic, Ghaziabad, Uttar Pradesh, India",D-2023-0289,23 Mar 2023,22 Mar 2026,Voluntary Withdrawal of Accreditation w.e.f. 9th July 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0428,"Dental Park - Dental & Maxillofacial Centre, Ghaziabad, Uttar Pradesh, India",D-2023-0290,23 Mar 2023,22 Mar 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0463,"Apple International Dental, Vijayawada, Andhra Pradesh, India",D-2023-0291,30 Mar 2023,29 Mar 2026,"Accreditation under Suspension w.e.f . July 10, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0423,"Smile Super Speciality Dental Hospital, Kurnool, Andhra Pradesh, India",D-2023-0292,30 Mar 2023,29 Mar 2026,Forced Withdrawal of Accreditation w.e.f. 13th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0466,"Smile N Shine Orthodontic Care Pvt. Ltd., Pune, Maharashtra, India",D-2023-0293,30 Mar 2023,29 Mar 2026,Forced Withdrawal of Accreditation w.e.f. 11th March 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.397103
DC-2022-0461,"Star Dental Experts, Eluru, Andhra Pradesh, India",D-2023-0294,06 Apr 2023,05 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0389,"Satyam Dental Clinic & Implant Centre, Jaipur, Rajasthan, India",D-2023-0295,06 Apr 2023,05 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0420,"Gupta Dental Hospital, Dausa, Rajasthan, India",D-2023-0296,13 Apr 2023,12 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0439,"Smile Bright Multispeciality Dental Clinic, Delhi, Delhi, India",D-2023-0297,13 Apr 2023,12 Apr 2026,Forced Withdrawal of Accreditation w.e.f. 12th February 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2021-0386,"Sri Krishna Dental Clinic, Guntur, Andhra Pradesh, India",D-2023-0298,13 Apr 2023,12 Apr 2026,"Accreditation under Suspension w.e.f . July 10, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0442,"Jyoti Dental and Diagnostic, Ghaziabad, Uttar Pradesh, India",D-2023-0299,20 Apr 2023,19 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0422,"You Dent Hospital, Jaipur, Rajasthan, India",D-2023-0300,27 Apr 2023,26 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2023-0477,"Bhede Multispeciality Dental Clinic, Nagpur, Maharashtra, India",D-2023-0301,04 May 2023,03 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0431,"Jain Dental Centre, Ghaziabad, Uttar Pradesh, India",D-2023-0302,18 May 2023,17 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2021-0380,"Deep Dental , Mohali, Punjab, India",D-2023-0303,25 May 2023,24 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0441,"Centre for Smile Dental and Heart Clinic, Faridabad, Haryana, India",D-2023-0304,25 May 2023,24 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0456,"The Dream Smile Dental Clinic, Delhi, Delhi, India",D-2023-0305,25 May 2023,24 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2023-0481,"Sai Dento Care, Bangalore, Karnataka, India",D-2023-0306,25 May 2023,24 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2023-0472,"Dr. Amit Sharma Super Speciality Dental Hospital, Jaipur, Rajasthan, India",D-2023-0307,01 Jun 2023,31 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.399625
DC-2022-0467,"OM Sai Dental Clinic, Delhi, Delhi, India",D-2023-0308,08 Jun 2023,07 Jun 2026,Voluntary Withdrawal of Accreditation w.e.f. 4th July 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0476,"Identity Multy Specialty Dental Hospital & Research Center, Kadapa, Andhra Pradesh, India",D-2023-0309,08 Jun 2023,07 Jun 2026,Forced Withdrawal of Accreditation w.e.f. 6th August 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0433,"Apple Dental (A Unit Of M/S Apple Oral And Dental Pvt. Ltd.), Ananthapur, Andhra Pradesh, India",D-2023-0310,15 Jun 2023,14 Jun 2026,Forced Withdrawal of Accreditation w.e.f. 23rd January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0485,"Rainbow Dental Care, Prakasam, Ongole, Andhra Pradesh, India",D-2023-0311,15 Jun 2023,14 Jun 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0452,"Shashi Dental Center, Delhi, Delhi, India",D-2023-0312,22 Jun 2023,21 Jun 2026,Voluntary Withdrawal of Accreditation w.e.f. 9th October 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0474,"Smile And Shine Dental, Visakhapatnam, Andhra Pradesh, India",D-2023-0313,22 Jun 2023,21 Jun 2026,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0451,"Dr. Mallick Dental Centre Llp, Pitam Pura , Delhi, Delhi, India",D-2023-0314,22 Jun 2023,21 Jun 2026,Forced Withdrawal of Accreditation w.e.f. 11th March 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0480,"Sampoorna Advanced Dental Centre, Bangalore, Karnataka, India",D-2023-0315,28 Jun 2023,27 Jun 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2021-0371,"Chetna Dental Centre, Lucknow, Uttar Pradesh, India",D-2023-0316,20 Jul 2023,19 Jul 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0436,"Bhandari Dental Care, Bilaspur, Chattisgarh, India",D-2023-0317,20 Jul 2023,19 Jul 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0440,"Dr. Kowe's Multispeciality Dental Clinic, Gadchiroli, Maharashtra, India",D-2023-0318,20 Jul 2023,19 Jul 2026,"Accreditation under Suspension w.e.f . April 27, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0460,"Dental Square, Gurgaon, Haryana, India",D-2023-0319,20 Jul 2023,19 Jul 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0470,"Vital Dental, Chandigarh, Chandigarh, India",D-2023-0320,20 Jul 2023,19 Jul 2026,Voluntary Withdrawal of Accreditation w.e.f. 29th July 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
D-2023-0482,"Vinayak Dental Hospital And Orthodontic Centre, Dausa, Rajasthan, India",D-2023-0321,20 Jul 2023,19 Jul 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0492,"Bhartia Dental Clinic, Bhopal, Madhya Pradesh, India",D-2023-0322,27 Jul 2023,26 Jul 2026,Forced Withdrawal of Accreditation w.e.f. 16th May 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0464,"Surabhi Speciality Dental Clinic & Orthodontic Centre, Ernakulam, Kerala, India",D-2023-0323,27 Jul 2023,26 Jul 2026,Voluntary Withdrawal of Accreditation w.e.f. 7th January 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0413,"Naarayana Dental Clinic, Anantapur, Andhra Pradesh, India",D-2023-0324,03 Aug 2023,02 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0479,"Sita Memorial Multispeciality Dental Clinic, Raipur, Chattisgarh, India",D-2023-0325,03 Aug 2023,02 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0457,"Kalra Dental Hospital, Palwal, Haryana, India",D-2023-0326,10 Aug 2023,09 Aug 2026,Forced Withdrawal of Accreditation w.e.f. 22nd April 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0412,"Goyal Dental Clinic, Charkhi Dadri , Haryana, India",D-2023-0327,24 Aug 2023,23 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0483,"Tishlar Dental Clinic, New Delhi, Delhi, India",D-2023-0328,24 Aug 2023,23 Aug 2026,Forced Withdrawal of Accreditation w.e.f. 12th April 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0503,"Dr Shiva Nagini Yalavarthi Multispeciality Dental Clinic (The Unit Of Apollo Dental Clinics), Hyderabad, Telangana, India",D-2023-0329,24 Aug 2023,23 Aug 2026,"Accreditation under Suspension w.e.f . September 01, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0499,"Cosmodentz Dental Clinic, Sonipat, Kharkhoda, Haryana, India",D-2023-0330,24 Aug 2023,23 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0502,"Manglam Dental Hospital & Orthodontic Centre, Jaipur, Rajasthan, India",D-2023-0331,24 Aug 2023,23 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2022-0471,"Mamta Dental Care Orthodontic Implant Centre, Mahendergarh, Haryana, India",D-2023-0332,31 Aug 2023,30 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0488,"Dr. Goenkas Raman Dental Care, Jaipur, Rajasthan, India",D-2023-0333,07 Sep 2023,06 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0491,"City Dental Clinic, Faridabad, Haryana, India",D-2023-0334,07 Sep 2023,06 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0497,"Life Line Dental & Diagnostics, Sahibabad, Uttar Pradesh, India",D-2023-0335,14 Sep 2023,13 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0514,"Dental World , Delhi, Delhi, India",D-2023-0336,21 Sep 2023,20 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0523,"Dev Dental Hospital, Jaipur, Rajasthan, India",D-2023-0337,21 Sep 2023,20 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0489,"Apple International Dental (A Unit of Apple Oral and Dental Pvt. Ltd.), Chittor, Tirupati, Andhra Pradesh, India",D-2023-0338,21 Sep 2023,20 Sep 2026,"Accreditation under Suspension w.e.f . September 07, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0511,"IM Dentist, Delhi, Delhi, India",D-2023-0339,21 Sep 2023,20 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
D-2023-0496,"Govt. Dental College & Hospital, Jamnagar, Gujarat, India",D-2023-0340,21 Sep 2023,20 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
DC-2023-0530,"Uttam Charitable Dental Clinic, Jhajjar, Bahadurgarh, Haryana, India",D-2023-0341,28 Sep 2023,27 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.401381
D-2023-0490,"Bharati Vidyapeeth (Deemed To Be University) Dental College And Hospital Sangli, Sangli, Maharashtra, India",D-2023-0342,28 Sep 2023,27 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0482,"Shree Ram Diagnostic And Dental Hospital, Jaipur, Rajasthan, India",D-2023-0343,12 Oct 2023,11 Oct 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0512,"N K Dental Hospital, Jaipur, Rajasthan, India",D-2023-0344,19 Oct 2023,18 Oct 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0475,"Kids and Family Dental Centre, Gondia, Maharashtra, India",D-2023-0345,26 Oct 2023,25 Oct 2026,Forced Withdrawal of Accreditation w.e.f. 1st June 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0505,"MAC Dental Care, Delhi, Delhi, India",D-2023-0346,26 Oct 2023,25 Oct 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0540,"Dr. Rohits Dental Care, Delhi, Delhi, India",D-2023-0347,26 Oct 2023,25 Oct 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0509,"Smile Sculptors, Bangalore, Karnataka, India",D-2023-0348,02 Nov 2023,01 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0515,"Jyothi Multispeciality Dental Clinic , Delhi, Delhi, India",D-2023-0349,02 Nov 2023,01 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0532,"Teethz Tantras Dental Clinic, Pune, Maharashtra, India",D-2023-0350,02 Nov 2023,01 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0537,"Goel's Multispeciality Dental Clinic And Implant Centre, Delhi, Delhi, India",D-2023-0351,09 Nov 2023,08 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0527,"Bhardwaj Dental Solutions, New Delhi, Delhi, India",D-2023-0352,09 Nov 2023,08 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0533,"Apple International Dental (A Unit of Apple Oral and Dental Private Limited), Hyderabad, Telangana, India",D-2023-0353,23 Nov 2023,22 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0516,"Balaji Dental Hospital & Polycliinic, Dausa, Rajasthan, India",D-2023-0354,30 Nov 2023,29 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0473,"Vishnoi Dental Hospital, Kanpur, Uttar Pradesh, India",D-2023-0355,30 Nov 2023,29 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2022-0446,"Eledent International Digital Dentistry And Imaging Centre, Hyderabad, Telangana, India",D-2023-0356,30 Nov 2023,29 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0529,"32 Pearls Multispeciality Dental Clinic, Faridabad, Haryana, India",D-2023-0357,07 Dec 2023,06 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0510,"Dr. Gigy's Million Dollar Smile Dental Clinic, Thiruvananthapuram, Kerala, India",D-2023-0358,07 Dec 2023,06 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0525,"Sree Implant And Maxillofacial Dental Hospital, Hyderabad, Telangana, India",D-2023-0359,07 Dec 2023,06 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0495,"Absolute Dental Care, Faridabad, Haryana, India",D-2023-0360,21 Dec 2023,20 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0528,"Teerthanker Adinath Bright Dental Care, New Delhi, Delhi, India",D-2023-0361,21 Dec 2023,20 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0543,"M.A.R Super Speciality Dental Hospital, Palnadu, Narasaraopeta, Andhra Pradesh, India",D-2023-0362,28 Dec 2023,27 Dec 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
D-2023-0546,"Manav Rachna Dental College, SDS, MRIIRS, Faridabad, Haryana, India",D-2024-0363,04 Jan 2024,03 Jan 2028,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0536,"Meda Daulati Dental Hospital, Nadbai, Bharatpur, Rajasthan, India",D-2024-0364,11 Jan 2024,10 Jan 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0486,"Sai Manglam Manav Seva Dental Clinic, Bhopal, Madhya Pradesh, India",D-2024-0365,18 Jan 2024,17 Jan 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0526,"Siddharth Dental Hospital, Bhilwara, Rajasthan, India",D-2024-0366,18 Jan 2024,17 Jan 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0541,"Dr. Pooja's Dental Health and Implant Centre, Delhi, Delhi, India",D-2024-0367,18 Jan 2024,17 Jan 2027,Forced Withdrawal of Accreditation w.e.f. 11th September 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0521,"Nexus Superspeciality Dental and Implant Centre, Delhi, Delhi, India",D-2024-0368,24 Jan 2024,23 Jan 2027,Voluntary Withdrawal of Accreditation w.e.f. 12th December 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0535,"RBA Dental Care, Faridabad, Haryana, India",D-2024-0369,08 Feb 2024,07 Feb 2027,"Accreditation under Suspension w.e.f . August 01, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0538,"Somani Dental Clinic, Gondia, Maharashtra, India",D-2024-0370,08 Feb 2024,07 Feb 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0553,"Dentwin India Pvt. Ltd., Sahibabad, Ghaziabad, Uttar Pradesh, India",D-2024-0371,15 Feb 2024,14 Feb 2028,Accredited on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
DC-2023-0534,"Rana Dental Clinic, Charkhi Dadri , Haryana, India",D-2024-0372,22 Feb 2024,21 Feb 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.405401
