serial_number,reference_number,name,accreditation_number,valid_from,valid_upto,remarks,additional_info,accreditation_level,accreditation_category,country,source,scraped_date,portal_url,row_number,data_version,city,state,address,valid_from_parsed,valid_upto_parsed,certification_status
284,PEH-2018-1240,"Platinum Hospitals Pvt. Ltd., Palghar, Maharashtra, India",27 Apr 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.129845,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,284,2.0,Palghar,Maharashtra,"Palghar, Maharashtra, India",,,Unknown
285,PEH-2018-1241,"Jagannath Gupta Institute of Medical Sciences & Hospital, Kolkata, West Bengal, India",27 Apr 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.129845,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,285,2.0,Kolkata,West Bengal,"Kolkata, West Bengal, India",,,Unknown
286,PEH-2018-1243,"Marble City Hospital, Ajmer, Rajasthan, India",28 Apr 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,286,2.0,Ajmer,Rajasthan,"Ajmer, Rajasthan, India",,,Unknown
287,PEH-2018-1249,"Cygnus J.K.Hundu Hospital, Sonipat, Haryana, India",01 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,287,2.0,Sonipat,Haryana,"Sonipat, Haryana, India",,,Unknown
288,PEH-2018-1253,"BM Hospital, Begusarai, Bihar, India",02 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,288,2.0,Begusarai,Bihar,"Begusarai, Bihar, India",,,Unknown
289,PEH-2018-1255,"Satya Sai Platinum Hospital (Unit of Platinum Hospitals Pvt. Ltd.), Thane, Maharashtra, India",02 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,289,2.0,Thane,Maharashtra,"Thane, Maharashtra, India",,,Unknown
290,PEH-2018-1259,"Prakash Hospital & Trauma Centre, Gurgaon, Haryana, India",03 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,290,2.0,Gurgaon,Haryana,"Gurgaon, Haryana, India",,,Unknown
291,PEH-2018-1263,"Nandana Health Care Service (I) Pvt. Ltd., Bangalore, Karnataka, India",04 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,291,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
292,PEH-2018-1266,"Deepam Hospital Limited, Kanchipuram, Tamil Nadu, India",07 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,292,2.0,Kanchipuram,Tamil Nadu,"Kanchipuram, Tamil Nadu, India",,,Unknown
293,PEH-2018-1267,"Shivam Super Speciality Hospital, Jaipur, Rajasthan, India",08 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,293,2.0,Jaipur,Rajasthan,"Jaipur, Rajasthan, India",,,Unknown
294,PEH-2018-1274,"Midland Healthcare And Research Center, Lucknow, Uttar Pradesh, India",12 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.130945,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,294,2.0,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India",,,Unknown
295,PEH-2018-1276,"Swami Sarvanand Hospital, Thane, Maharashtra, India",14 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,295,2.0,Thane,Maharashtra,"Thane, Maharashtra, India",,,Unknown
296,PEH-2018-1284,"District Hospital (Male) Baharaich, Baharaich, Uttar Pradesh, India",16 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,296,2.0,Baharaich,Uttar Pradesh,"Baharaich, Uttar Pradesh, India",,,Unknown
297,PEH-2018-1285,"Divisional District Hospital (Male), Azamgarh, Azamgarh, Uttar Pradesh, India",16 May 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,297,2.0,Azamgarh,Uttar Pradesh,"Azamgarh, Azamgarh, Uttar Pradesh, India",,,Unknown
298,PEH-2018-1300,"Jeevan Hospital, Hyderabad, Telangana, India",22 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,298,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
299,PEH-2018-1303,"Sree Balaji Medical College And Hospital, Chennai, Tamil Nadu, India",22 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,299,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
300,PEH-2018-1309,"Priya Hospital, Kanpur, Uttar Pradesh, India",24 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,300,2.0,Kanpur,Uttar Pradesh,"Kanpur, Uttar Pradesh, India",,,Unknown
301,PEH-2018-1314,"Namco Charitable TrustS Shrimati Sundarabai Govardhandas Samsukha Cancer Hospital, Nasik, Maharashtra, India",25 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,301,2.0,Nasik,Maharashtra,"Nasik, Maharashtra, India",,,Unknown
302,PEH-2018-1316,"Dhayal Hospital And Research Centre, Sikar, Rajasthan, India",25 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,302,2.0,Sikar,Rajasthan,"Sikar, Rajasthan, India",,,Unknown
303,PEH-2018-1322,"Bhagyashree Hospital, Meerut, Uttar Pradesh, India",26 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,303,2.0,Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India",,,Unknown
304,PEH-2018-1327,"Vaatsalya Hospital Hassan, Hassan, Karnataka, India",29 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,304,2.0,Hassan,Karnataka,"Hassan, Karnataka, India",,,Unknown
305,PEH-2018-1330,"A.C.S Medical College and Hospital, Chennai, Tamil Nadu, India",29 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,305,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
306,PEH-2018-1333,"CSI Hospital,Kanchipuram, Kanchipuram, Tamil Nadu, India",30 May 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,306,2.0,Kanchipuram,Tamil Nadu,"Kanchipuram, Kanchipuram, Tamil Nadu, India",,,Unknown
307,PEH-2018-1337,"City Tower Hospitals, Chennai, Tamil Nadu, India",30 May 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,307,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
308,PEH-2018-1338,"Madha Medical College And Hospital, Chennai, Tamil Nadu, India",30 May 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,308,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
309,PEH-2018-1341,"Rama Medical College, Hospital and Research Centre, Hapur, Uttar Pradesh, India",02 Jun 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,309,2.0,Hapur,Uttar Pradesh,"Hospital and Research Centre, Hapur, Uttar Pradesh, India",,,Unknown
310,PEH-2018-1353,"Om Trauma & Neuro Hospital, Meerut, Uttar Pradesh, India",07 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,310,2.0,Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India",,,Unknown
311,PEH-2018-1363,"Kanyakumari Medical Mission, C.S.I. Mission Hospital, Kanyakumari, Tamil Nadu, India",09 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,311,2.0,Kanyakumari,Tamil Nadu,"C.S.I. Mission Hospital, Kanyakumari, Tamil Nadu, India",,,Unknown
312,PEH-2018-1364,"Kanoria Hospital And Research Centre, Gandhinagar, Gujarat, India",09 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.135325,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,312,2.0,Gandhinagar,Gujarat,"Gandhinagar, Gujarat, India",,,Unknown
313,PEH-2018-1379,"Ganga Sahai Multispeciality Hospital Pvt. Ltd, Rewari, Haryana, India",14 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,313,2.0,Rewari,Haryana,"Rewari, Haryana, India",,,Unknown
314,PEH-2018-1381,"Jeevan Hospital And Stone Centre, Modinagar, Uttar Pradesh, India",15 Jun 5018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,314,2.0,Modinagar,Uttar Pradesh,"Modinagar, Uttar Pradesh, India",,,Unknown
315,PEH-2018-1382,"Upadhyay Hospital, Agra, Uttar Pradesh, India",15 Jun 5018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,315,2.0,Agra,Uttar Pradesh,"Agra, Uttar Pradesh, India",,,Unknown
316,PEH-2018-1386,"Mata Roop Rani Maggo And Mahindru Hospital Pvt. Ltd., Delhi, Delhi, India",18 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,316,2.0,Delhi,Delhi,"Delhi, Delhi, India",,,Unknown
317,PEH-2018-1389,"R.S.D. Samarpan Hos, Lucknow, Uttar Pradesh, India",19 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,317,2.0,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India",,,Unknown
318,PEH-2018-1392,"Vijaya Hospital (A Unit Of Vijaya Krishna Hospitals Pvt Ltd, Nellore, Andhra Pradesh, India",19 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,318,2.0,Nellore,Andhra Pradesh,"Nellore, Andhra Pradesh, India",,,Unknown
319,PEH-2018-1394,"S.N.M District Hospital And Tb Sanatorium, Firozabadad, Uttar Pradesh, India",20 Jun 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.139003,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,319,2.0,Firozabadad,Uttar Pradesh,"Firozabadad, Uttar Pradesh, India",,,Unknown
320,PEH-2018-1399,"Sahar Hospital, Lucknow, Uttar Pradesh, India",20 Jun 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141018,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,320,2.0,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India",,,Unknown
321,PEH-2018-1403,"K.D. Hospital , Amritsar, Punjab, India",21 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141018,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,321,2.0,Amritsar,Punjab,"Amritsar, Punjab, India",,,Unknown
322,PEH-2018-1407,"Varanasi Hospital, Varanasi, Uttar Pradesh, India",21 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,322,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
323,PEH-2018-1416,"Vaatsalya Hospital, Mysore, Karnataka, India",26 Jun 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,323,2.0,Mysore,Karnataka,"Mysore, Karnataka, India",,,Unknown
324,PEH-2018-1422,"Chakan Criticare Hospital Pvt Ltd, Pune, Maharashtra, India",26 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,324,2.0,Pune,Maharashtra,"Pune, Maharashtra, India",,,Unknown
325,PEH-2018-1423,"Max7 Hospital, Purnea, Bihar, India",26 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,325,2.0,Purnea,Bihar,"Purnea, Bihar, India",,,Unknown
326,PEH-2018-1427,"Shrey Hospitals Pvt. Ltd., Ahmedabad, Gujarat, India",26 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,326,2.0,Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",,,Unknown
327,PEH-2018-1439,"Smayan Hospital, Varanasi, Uttar Pradesh, India",28 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,327,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
328,PEH-2018-1440,"Giffard Memorial Hospital, Nuzvid, Vijayawada, Andhra Pradesh, India",29 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.141523,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,328,2.0,Vijayawada,Andhra Pradesh,"Nuzvid, Vijayawada, Andhra Pradesh, India",,,Unknown
329,PEH-2018-1446,"New Korba Hospital, Korba, Chattisgarh, India",30 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,329,2.0,Korba,Chattisgarh,"Korba, Chattisgarh, India",,,Unknown
330,PEH-2018-1449,"Carepoint Hospital, Navi Mumbai, Maharashtra, India",30 Jun 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,330,2.0,Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India",,,Unknown
331,PEH-2018-1451,"Deshmukh Hospital And Research Center, Ujjain, Madhya Pradesh, India",01 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,331,2.0,Ujjain,Madhya Pradesh,"Ujjain, Madhya Pradesh, India",,,Unknown
332,PEH-2018-1460,"Sds Global Super Speciality Hospital A Unit Of Shri Dev Shri Medicare Hospital Pvt Ltd, Meerut, Uttar Pradesh, India",03 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,332,2.0,Meerut,Uttar Pradesh,"Meerut, Uttar Pradesh, India",,,Unknown
333,PEH-2018-1463,"Shiv Surgical Nursing Home, Varanasi, Uttar Pradesh, India",04 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,333,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
334,PEH-2018-1466,"Mehkar Multispeciality Hospital, Buldhana, Maharashtra, India",05 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,334,2.0,Buldhana,Maharashtra,"Buldhana, Maharashtra, India",,,Unknown
335,PEH-2018-1468,"Sri Datta Hospitals, Guntur, Andhra Pradesh, India",05 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,335,2.0,Guntur,Andhra Pradesh,"Guntur, Andhra Pradesh, India",,,Unknown
336,PEH-2018-1470,"Shree Siddhi Vinayak Hospicare Private Limited, Bhilwara, Rajasthan, India",06 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.143529,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,336,2.0,Bhilwara,Rajasthan,"Bhilwara, Rajasthan, India",,,Unknown
337,PEH-2018-1474,"Vijay Hospital And Trauma Centre, Varanasi, Uttar Pradesh, India",06 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,337,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
338,PEH-2018-1475,"Ispat Cooperative Hospital, SONARPUR, West Bengal, India",06 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,338,2.0,Sonarpur,West Bengal,"SONARPUR, West Bengal, India",,,Unknown
339,PEH-2018-1479,"Rane Hospital, Solapur, Maharashtra, India",07 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,339,2.0,Solapur,Maharashtra,"Solapur, Maharashtra, India",,,Unknown
340,PEH-2018-1482,"Anant Hospital, Varanasi, Uttar Pradesh, India",09 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,340,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
341,PEH-2018-1484,"Midland Nursing Home Pvt. Ltd., Kolkata, West Bengal, India",10 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,341,2.0,Kolkata,West Bengal,"Kolkata, West Bengal, India",,,Unknown
342,PEH-2018-1489,"Monarch Hospital, Solapur, Maharashtra, India",11 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,342,2.0,Solapur,Maharashtra,"Solapur, Maharashtra, India",,,Unknown
343,PEH-2018-1490,"Trichy Diabetes Speciality Centre (P) Ltd., Trichy, Tamil Nadu, India",11 Jul 2018,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,343,2.0,Trichy,Tamil Nadu,"Trichy, Tamil Nadu, India",,,Unknown
344,PEH-2018-1491,"Ravihelios Hospital, Hyderabad, Telangana, India",11 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,344,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
345,PEH-2018-1505,"Nayati Medicentre, Agra, Uttar Pradesh, India",12 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.145535,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,345,2.0,Agra,Uttar Pradesh,"Agra, Uttar Pradesh, India",,,Unknown
346,PEH-2018-1506,"Shantiniketan Hospital, Mumbai, Maharashtra, India",12 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.147281,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,346,2.0,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",,,Unknown
347,PEH-2018-1510,"Chaya Super Speciality Hospital , Bangalore, Karnataka, India",13 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,347,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
348,PEH-2018-1511,"Kalra Hospital Dwarka, New Delhi, Delhi, India",13 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,348,2.0,New Delhi,Delhi,"New Delhi, Delhi, India",,,Unknown
349,PEH-2018-1512,"Karan Hospital & Maternity Home Banga, Nawanshahr, Punjab, India",13 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,349,2.0,Nawanshahr,Punjab,"Nawanshahr, Punjab, India",,,Unknown
350,PEH-2018-1513,"Ram Raghu Hospital Unit Ii, Agra, Uttar Pradesh, India",13 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,350,2.0,Agra,Uttar Pradesh,"Agra, Uttar Pradesh, India",,,Unknown
351,PEH-2018-1516,"Aditya Netralaya, Bangalore, Karnataka, India",14 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,351,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
352,PEH-2018-1517,"Kothavale Maternity Ands Surgical Hospital, Miraj, Maharashtra, India",14 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,352,2.0,Miraj,Maharashtra,"Miraj, Maharashtra, India",,,Unknown
353,PEH-2018-1518,"Narayana Multispeciality Hospital, Howrah, West Bengal, India",14 Jul 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.148472,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,353,2.0,Howrah,West Bengal,"Howrah, West Bengal, India",,,Unknown
